Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Evangelinebe | EUW1
Evangelinebe | EUW1
Evangelinebe | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Evangelinebe | EUW1
Evangelinebe | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Evangelinebe | EUW1
Evangelinebe | EUW1
Evangelinebe | EUW1
Evangelinebe | EUW1
Archambe | EUW1
Archambe | EUW1
Archambe | EUW1
Archambe | EUW1
Archambe | EUW1
Archambe | EUW1
Archambe | EUW1
Archambe | EUW1
Archambe | EUW1
Archambe | EUW1
Ierembralorn | EUW1
Archambe | EUW1
Ierembralorn | EUW1
Ierembralorn | EUW1
Ierembralorn | EUW1
Ierembralorn | EUW1
Ierembralorn | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Archambe | EUW1
Archambe | EUW1
Archambe | EUW1
Archambe | EUW1
Archambe | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
evangelineBe | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
EasypotatoEU | EUW1
Evangelinebe | EUW1
Evangelinebe | EUW1
 | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Evangelinebe | EUW1
EasypotatoEU | EUW1
Evangelinebe | EUW1
Swipe04 | EUW1
 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
<<<<<<< HEAD
 | EUW1
 | EUW1
 | EUW1
Swipe04 | EUW1
 | EUW1
 | EUW1
 | EUW1
EvangelineBe | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
EvangelineBe | EUW1
EvangelineBe | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
Swipe04 | EUW1
=======
Evangelinebe | EUW1
>>>>>>> 1bdcf15a360f11bf44c176857cf53557c4b60e1c
